Company_name,Website,Crunchbase,Twitter,Facebook,Linkedin
Wave,http://www.waveapps.com/,https://www.crunchbase.com/organization/wave-financial,http://twitter.com/waveHQ,http://www.facebook.com/waveHQ,http://www.linkedin.com/company/1196866
FreshBooks,http://www.freshbooks.com/,https://www.crunchbase.com/organization/freshbooks,http://twitter.com/freshbooks,http://www.facebook.com/freshbooks,http://www.linkedin.com/company/freshbooks
Jobber,https://getjobber.com/,https://www.crunchbase.com/organization/jobber,http://twitter.com/getjobber,http://www.facebook.com/GetJobber,https://www.linkedin.com/company/jobber-software
Relay,https://relayfi.com/,https://www.crunchbase.com/organization/relay-financial,https://twitter.com/relayfinancial,https://www.facebook.com/pg/relayfinancial,https://www.linkedin.com/company/relay-financial
Humi,https://www.humi.ca/,https://www.crunchbase.com/organization/humi-hr,https://twitter.com/gethumi,https://www.facebook.com/gethumi/,https://www.linkedin.com/company-beta/15197446/?pathWildcard=15197446
FundThrough,https://www.fundthrough.com/,https://www.crunchbase.com/organization/fundthrough,https://twitter.com/FundThrough,https://www.facebook.com/fundthrough/timeline?ref=page_internal,https://www.linkedin.com/company/fundthrough
Plooto,https://www.plooto.com/,https://www.crunchbase.com/organization/plooto,https://www.twitter.com/plootoinc,https://www.facebook.com/plootoinc,https://www.linkedin.com/company/plooto
Joist,https://www.joist.com/,https://www.crunchbase.com/organization/joist,https://twitter.com/joist,https://www.facebook.com/joistapp,https://www.linkedin.com/company/joist
ProntoForms,http://www.prontoforms.com/,https://www.crunchbase.com/organization/prontoforms,http://twitter.com/ProntoForms,http://www.facebook.com/ProntoForms,https://www.linkedin.com/company/truecontext
Reply.io,https://reply.io/,https://www.crunchbase.com/organization/replyapp-io,https://twitter.com/ReplyAppTeam,https://www.facebook.com/reply.io/,https://www.linkedin.com/company/reply-io
Smile.io,https://smile.io/,https://www.crunchbase.com/organization/smile-io,http://twitter.com/smilerewards,https://www.facebook.com/smile.io,https://www.linkedin.com/company/smile.io/
Wagepoint,http://wagepoint.com/,https://www.crunchbase.com/organization/wagepoint,http://twitter.com/wagepoint,http://www.facebook.com/Wagepoint,http://www.linkedin.com/company/wagepoint
Method:CRM,https://www.method.me/,https://www.crunchbase.com/organization/method-crm,http://twitter.com/MethodCRM,http://www.facebook.com/Method-Integration-Inc/17254056277,http://www.linkedin.com/company/method-integration
Hoppier,https://www.hoppier.com/,https://www.crunchbase.com/organization/desk-nibbles,https://twitter.com/hoppieroffice,https://www.facebook.com/pg/hoppieroffice,https://www.linkedin.com/company/hoppier/
Parkbench.com,http://parkbench.com/,https://www.crunchbase.com/organization/parkbench-com,https://twitter.com/parkbenchfamily,https://www.facebook.com/parkbenchfamily/,https://www.linkedin.com/company/parkbench
Webware.io,http://www.webware.io/,https://www.crunchbase.com/organization/webware-io,https://www.twitter.com/webwareio,https://www.facebook.com/webwareio,N/A
Ario Platform,https://www.arioplatform.com/,https://www.crunchbase.com/organization/ario-platform,https://www.twitter.com/https://twitter.com/ArioPlatform,https://www.facebook.com/arioplatform/,https://www.linkedin.com/company/ario-platform/
Fortuna.ai,http://www.fortuna.ai/,https://www.crunchbase.com/organization/fortuna-ai,https://twitter.com/fortunaai2,https://www.facebook.com/fortunalabs/,https://www.linkedin.com/company/fortuna-ai/
Needls.com,http://needls.com/,https://www.crunchbase.com/organization/needls-com,http://twitter.com/needlsads,http://www.facebook.com/TheOfficialNeedlsPage,http://www.linkedin.com/company/needls-com
TeamGram,https://www.teamgram.com/,https://www.crunchbase.com/organization/teamgram,N/A,N/A,https://www.linkedin.com/company/teamgram/
Eden App,http://edenapp.com/,https://www.crunchbase.com/organization/eden-app,https://www.twitter.com/edenapp,https://www.facebook.com/edenapp,https://www.linkedin.com/company-beta/10368324/admin/updates/
Greenline POS,https://getgreenline.co/,https://www.crunchbase.com/organization/getgreenline,https://twitter.com/getgreenline,https://www.facebook.com/GetGreenline/,N/A
HostPapa,https://www.hostpapa.com/,https://www.crunchbase.com/organization/hostpapa,https://twitter.com/hostpapa,https://www.facebook.com/pg/HostPapa/,https://www.linkedin.com/company/hostpapa/about/
PlasticSpot,https://plasticspot.io/,https://www.crunchbase.com/organization/plasticspot,https://twitter.com/PlasticSpot,https://www.facebook.com/PlasticSpot,https://www.linkedin.com/company/plasticspot/?originalSubdomain=me
PivoHub,https://info.pivohub.com/,https://www.crunchbase.com/organization/pivohub,N/A,https://www.facebook.com/pivohubcom/?ref=br_rs,https://www.linkedin.com/company/pivohub/
Sherpa ERP,https://sherpaerp.com/,https://www.crunchbase.com/organization/sherpa-erp,https://twitter.com/sherpa_erp,https://www.facebook.com/sherpaerp/,https://www.linkedin.com/company/sherpa-erp/
Knit People,https://www.knitpeople.com/,https://www.crunchbase.com/organization/white-beaver,https://twitter.com/KnitHQ,https://www.facebook.com/KnitHQ,https://ca.linkedin.com/company/knitpeople
Georgette Packaging,http://www.georgettepackaging.com/,https://www.crunchbase.com/organization/georgette-packaging,https://twitter.com/GeorgettePack,https://www.facebook.com/GeorgettePackaging?fref=ts,https://www.linkedin.com/company/9369009
Now In Store,http://nowinstore.com/,https://www.crunchbase.com/organization/now-in-store,http://twitter.com/nowinstoreapp,http://www.facebook.com/nowinstore,http://www.linkedin.com/company/2919795
MYLE Electronics,http://getmyle.com/,https://www.crunchbase.com/organization/myle-electronics,https://twitter.com/getmyle,https://www.facebook.com/getmyle,https://www.linkedin.com/company/myle-electronics-corp-?trk
Openera,http://www.openera.com/,https://www.crunchbase.com/organization/openera,http://twitter.com/openera,http://www.facebook.com/Openera.net,http://www.linkedin.com/company/openera-inc
Nextwave Software,http://www.nxtwv.com/,https://www.crunchbase.com/organization/nextwave-software,http://twitter.com/nextwave_,https://www.facebook.com/nextwavesoftware,https://www.linkedin.com/company/nextwave-software
Grand River Business Intelligence,http://www.grandriverbi.com/,https://www.crunchbase.com/organization/grand-river-business-intelligence,N/A,N/A,https://www.linkedin.com/company/contractcomplete/
Stormboard,http://stormboard.com/,https://www.crunchbase.com/organization/stormboard,http://twitter.com/stormboard,http://www.facebook.com/stormboard,http://www.linkedin.com/company/stormboard
Rewardly,https://rewardly.ca/,https://www.crunchbase.com/organization/rewardly,https://twitter.com/myrewardly,https://www.facebook.com/myrewardly,https://www.linkedin.com/company/rewardly
Deluxe,http://www.deluxe.com/,https://www.crunchbase.com/organization/deluxe-fcce,https://www.twitter.com/Deluxe,https://www.facebook.com/deluxe/,https://www.linkedin.com/company/deluxe/
Bridgr,https://bridgr.co/,https://www.crunchbase.com/organization/bridgr,https://twitter.com/wearebridgr,https://www.facebook.com/wearebridgr/,https://www.linkedin.com/company/bridgr.co/
Yocale,https://www.yocale.com/,https://www.crunchbase.com/organization/yocale,https://www.twitter.com/yocalenetwork,https://www.facebook.com/yocalenetwork,https://www.linkedin.com/company/yocale
inFlow Inventory Software,http://www.inflowinventory.com/,https://www.crunchbase.com/organization/inflow-inventory-software,http://twitter.com/inFlowInventory,http://www.facebook.com/inFlowInventory,N/A
Callture,http://www.callture.com/,https://www.crunchbase.com/organization/callture,N/A,N/A,N/A
Scoop Robotix,https://www.scooprobotix.com/,https://www.crunchbase.com/organization/scoop-solar,https://twitter.com/scoop_mae,N/A,https://www.linkedin.com/company/scooprobotix/
Sales Spider,http://salespider.com/,https://www.crunchbase.com/organization/sales-spider,http://twitter.com/SaleSpider,N/A,N/A
Spinrite,http://www.yarnspirations.com/,https://www.crunchbase.com/organization/spinrite,https://twitter.com/Yarnspirations1,https://www.facebook.com/yarnspirations,https://www.linkedin.com/company/1765334
BrainRider Knowledge Marketing Group,http://www.brainrider.com/,https://www.crunchbase.com/organization/brainrider-knowledge-marketing-group,https://www.twitter.com/brainrider,https://www.facebook.com/brainrider,https://www.linkedin.com/company/brainrider
Osmos,http://osmoscloud.com/,https://www.crunchbase.com/organization/osmos-cloud,https://www.twitter.com/osmoscloud,https://www.facebook.com/osmoscloud,https://www.linkedin.com/company/osmos-cloud
nmodes,http://nmodes.com/,https://www.crunchbase.com/organization/nmodes,https://twitter.com/nmodes_com,https://www.facebook.com/nmodescom,https://www.linkedin.com/company/nmodes
Click Less Do More,https://clicklessdomore.com/,https://www.crunchbase.com/organization/click-less-do-more,N/A,N/A,N/A
Cakemail,https://www.cakemail.com/,https://www.crunchbase.com/organization/cakemail,http://twitter.com/cakemail,http://www.facebook.com/CakeMail,http://www.linkedin.com/company/cakemail
BreezeMaxWeb,https://breezemaxweb.com/,https://www.crunchbase.com/organization/breezemaxweb,https://twitter.com/breezemaxweb,https://www.facebook.com/breezemaxweb,https://www.linkedin.com/company/breezemaxweb-ca-ltd-/
Nutcache,http://www.nutcache.com/,https://www.crunchbase.com/organization/nutcache,http://twitter.com/nutcache,http://www.facebook.com/Nutcache,http://www.linkedin.com/company/nutcache
MINT TECHNOLOGY CORP., MINT INC. AND MINT COMMERCE INC.,https://themintcorp.com/,https://www.crunchbase.com/organization/mint-technologies,N/A,N/A,N/A
Vencru,https://www.vencru.com/,https://www.crunchbase.com/organization/vencru,https://twitter.com/VencruHQ,https://www.facebook.com/VencruHQ,https://www.linkedin.com/company/vencru/
HiredWell,http://www.hiredwell.com/,https://www.crunchbase.com/organization/hiredwell,https://twitter.com/@hiredwell,https://www.facebook.com/pages/HiredWell/1650752215154235?fref=ts,https://www.linkedin.com/company/hiredwell/
ToolHound,http://www.toolhound.com/,https://www.crunchbase.com/organization/toolhound,http://twitter.com/ToolHoundNA,http://www.facebook.com/ToolHound,http://www.linkedin.com/company/toolhound
Miles T Sweeney Limited,https://msweeney.com/,https://www.crunchbase.com/organization/miles-t-sweeney-limited,N/A,N/A,N/A
Softrak Systems,http://softrak.com/,https://www.crunchbase.com/organization/softrak-systems,https://twitter.com/adagiobysoftrak,https://www.facebook.com/AdagioAccounting,https://www.linkedin.com/company-beta/497762/
Happy Go Mobile,https://www.happygomobile.com/,https://www.crunchbase.com/organization/happy-go-mobile,N/A,https://www.facebook.com/happygomobile/,N/A
FieldPro Software Ltd.,https://fieldpro-software.com/,https://www.crunchbase.com/organization/fieldpro-software-ltd,N/A,https://www.facebook.com/FieldPro-Software-Ltd-105808354841348,https://www.linkedin.com/company/fieldpro-software/
Gogiro,http://gogiro.com/,https://www.crunchbase.com/organization/gogiro,http://twitter.com/GogiroIG,http://www.facebook.com/gogiroig,http://www.linkedin.com/company/gogiro-internet-group
Career Spark,https://www.careerspark.com/,https://www.crunchbase.com/organization/career-spark,https://twitter.com/career_spark,https://www.facebook.com/hellocareerspark/,https://www.linkedin.com/company/11428250
Winair,http://www.winair.ca/,https://www.crunchbase.com/organization/winair,https://twitter.com/winair_software/,N/A,https://www.linkedin.com/company/av-base-systems-inc./
Smart Cell Communications,https://www.smartcell.ca/,https://www.crunchbase.com/organization/smart-cell-communications,https://twitter.com/SmartCellDeals,https://www.facebook.com/SmartCellCommunications/,https://www.linkedin.com/company/smart-cell-communications
ATS Corp,http://www.atimesolutions.com/,https://www.crunchbase.com/organization/ats-corp,https://twitter.com/apextime,N/A,http://www.linkedin/company/apex-time-solutions
Ratemyemployer,http://www.ratemyemployer.ca/,https://www.crunchbase.com/organization/ratemyemployer,N/A,N/A,N/A
PM SCADA Cyber Defense,https://www.pmscada.ca/,https://www.crunchbase.com/organization/pm-scada-cyber-defense,N/A,N/A,N/A
Kepler Capital,https://keplercapital.ca/,https://www.crunchbase.com/organization/kepler-capital,N/A,N/A,https://www.linkedin.com/company/kepler-capital-corporation/
StaffStat,http://www.staffstat.ca/,https://www.crunchbase.com/organization/staffstat,https://twitter.com/@StaffStatSuds,https://www.facebook.com/staffstatsuds,https://www.linkedin.com/company/5345578?trk=tyah&trkInfo=idx%3A1-1-1%2CtarId%3A1424449567584%2Ctas%3Astaffstat
A&A Associates | Windsor Printing Press, Signage & Design Services,https://myprintsupplier.com/,https://www.crunchbase.com/organization/a-a-associates-windsor-printing-press-signage-design-services,N/A,N/A,https://ca.linkedin.com/company/a&a-associates-printing-and-design-inc.
inBOLD Business Solutions,http://inboldsolutions.com/,https://www.crunchbase.com/organization/inbold-solutions,http://twitter.com/inboldsolutions,http://www.facebook.com/InBold,http://www.linkedin.com/company/3158715
OpenCal,http://opencal.com/,https://www.crunchbase.com/organization/opencal,https://twitter.com/opencal,N/A,N/A
MAK Business Solutions,https://www.makbusiness.ca/,https://www.crunchbase.com/organization/mak-business-solutions,N/A,N/A,N/A
Blue Collar Software,http://www.bluecollarsoftware.com/,https://www.crunchbase.com/organization/blue-collar-software,N/A,https://www.facebook.com/bluecollarsoftwaresolutions,N/A
SharePoint Maven,http://sharepointmaven.com/,https://www.crunchbase.com/organization/sharepoint-maven,https://www.twitter.com/gregoryzelfond,N/A,https://www.linkedin.com/company/sharepoint-maven
Noratek Solutions,http://www.noratek.com/,https://www.crunchbase.com/organization/noratek-solutions,N/A,N/A,https://www.linkedin.com/company/noratek-solutions-inc
CanadaStartups.org,https://www.canadastartups.org/,https://www.crunchbase.com/organization/canadastartups-org,http://www.twitter.com/canada_startups,N/A,https://www.linkedin.com/company/canadastartups.org
InputKit,https://inputkit.io/,https://www.crunchbase.com/organization/inputkit,N/A,N/A,N/A
Climatesmart Business,https://climatesmartbusiness.com/,https://www.crunchbase.com/organization/climatesmart-business,https://twitter.com/climatesmart,https://www.facebook.com/158608098300,https://www.linkedin.com/company/climate-smart
Tenaquip,https://tenaquip.com/,https://www.crunchbase.com/organization/tenaquip,https://twitter.com/tenaquiplimited,https://www.facebook.com/TenaquipLimited/,https://www.linkedin.com/company/tenaquip
B2M Asia,https://www.b2masia.com/,https://www.crunchbase.com/organization/b2m-asia,N/A,N/A,https://www.linkedin.com/company/b2masia
Fuelled,https://fuelled.com/,https://www.crunchbase.com/organization/fuelled,https://twitter.com/FuelledInc,N/A,https://www.linkedin.com/company/fuelled-inc-/
Ayming Canada,http://www.ayming.ca/,https://www.crunchbase.com/organization/ayming-canada,https://twitter.com/ayming_ca,N/A,https://www.linkedin.com/company/ayming-canada-formerly-alma-cg-canada
Aqurus Solutions,http://aqurus.ca/,https://www.crunchbase.com/organization/aqurus-solutions,https://twitter.com/aqurussolutions,https://www.facebook.com/AqurusSolutions/,https://www.linkedin.com/company/aqurus-solutions-inc-/
BookMyCity,https://www.bookmycity.com/,https://www.crunchbase.com/organization/bookmycity,http://twitter.com/bookmycity,http://www.facebook.com/bookmycity,http://www.linkedin.com/company/bookmycity-com
Streamline Information Systems,http://www.streamlineis.com/,https://www.crunchbase.com/organization/streamline-information-systems,N/A,N/A,N/A
TST-CF Express,https://tst-cfexpress.com/,https://www.crunchbase.com/organization/tst-cf-express,N/A,https://www.facebook.com/Tst-CF-Express-143956215713749,https://www.linkedin.com/company/tst-cf-express
Sysgen Solutions Group,https://www.sysgen.ca/,https://www.crunchbase.com/organization/sysgen-solutions-group,https://twitter.com/sysgensays,https://www.facebook.com/sysgensolutionsgroup/,https://www.linkedin.com/company/sysgen-solutions-group
Ad Valorem,https://www.advalorem.ca/,https://www.crunchbase.com/organization/ad-valorem,https://twitter.com/AdValoremSerge,N/A,https://www.linkedin.com/company/ad-valorem-inc-/
Law Scout,https://www.lawscout.ca/,https://www.crunchbase.com/organization/law-scout,https://twitter.com/myLawScout,https://www.facebook.com/lawscout,https://www.linkedin.com/company/law-scout-inc-
Jibbio.com,http://www.jibbio.com/,https://www.crunchbase.com/organization/jibbio,http://twitter.com/Jibbio,http://www.facebook.com/Jibbio,N/A
LogMyHours.com,https://logmyhours.com/,https://www.crunchbase.com/organization/logmyhours-com,https://www.twitter.com/logmyhours,https://www.facebook.com/logmyhours,https://www.linkedin.com/company/log-my-hours
Tooq,http://www.mytooq.com/,https://www.crunchbase.com/organization/tooq,http://twitter.com/tooq,N/A,https://www.linkedin.com/company/tooq-inc/
Divestopedia,https://www.divestopedia.com/,https://www.crunchbase.com/organization/divestopedia,https://twitter.com/divestopedia,https://www.facebook.com/Divestopedia/,https://www.linkedin.com/company/divestopedia
BizXPro Inc.,http://www.bizxpro.com/,https://www.crunchbase.com/organization/bizxpro-inc,N/A,N/A,N/A
Paintbox Catering and Bistro Inc.,http://paintboxbistro.ca/,https://www.crunchbase.com/organization/paintbox-catering-and-bistro-inc,https://twitter.com/paintbox_bistro,https://www.facebook.com/PaintboxBistro,N/A
Engineer Outsourcing,http://www.engineeroutsourcing.com/,https://www.crunchbase.com/organization/engineer-outsourcing,http://twitter.com/eoutsourcing,N/A,N/A
VintValley,https://www.vintvalley.com/,https://www.crunchbase.com/organization/vintvalley,https://twitter.com/vintvalley,https://www.facebook.com/VintValley/,https://www.linkedin.com/company/vintvalleyinc/
Dineserve,http://dineserve.com/,https://www.crunchbase.com/organization/dineserve,http://twitter.com/dineserve,N/A,N/A
Vested,http://vested.ca/,https://www.crunchbase.com/organization/vested-2de2,https://twitter.com/VestedCa,https://facebook.com/vested.ca,https://www.linkedin.com/company/vested-technology-corp-
Safec,https://www.safec.ca/,https://www.crunchbase.com/organization/safec,N/A,https://www.facebook.com/safec.ca,N/A
Valcor,http://valcorworldwide.com/,https://www.crunchbase.com/organization/valcor,http://twitter.com/Valcorworldwide,http://www.facebook.com/Valcorfb,http://www.linkedin.com/company/valcor
Golden Spruce Capital,http://www.goldensprucecapital.com/,https://www.crunchbase.com/organization/golden-spruce-capital,N/A,N/A,https://www.linkedin.com/company/golden-spruce-capital